date,borough,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplaces,Residential
2021-01-29,Waltham Forest,-50.57142857,-14.57142857,7.714285714,-62.42857143,-55.71428571,20.85714286
2021-01-30,Waltham Forest,-51.14285714,-14.85714286,1,-63,-55.71428571,21
2021-01-31,Waltham Forest,-49.85714286,-13.14285714,1.428571429,-62.28571429,-55.28571429,20.85714286
2021-02-01,Waltham Forest,-50.14285714,-13.14285714,-1.142857143,-62.14285714,-55.14285714,20.85714286
2021-02-02,Waltham Forest,-49.42857143,-12.28571429,3.714285714,-61.57142857,-55,20.71428571
2021-02-03,Waltham Forest,-49.28571429,-12.28571429,2,-61.42857143,-54.85714286,20.57142857
2021-02-04,Waltham Forest,-49.28571429,-12.57142857,-2.571428571,-61.71428571,-54.71428571,20.57142857
2021-02-05,Waltham Forest,-48.85714286,-12,2.285714286,-61.85714286,-54.42857143,20.42857143
2021-02-06,Waltham Forest,-47.71428571,-11.85714286,7.857142857,-61.42857143,-53.85714286,20.28571429
2021-02-07,Waltham Forest,-48.28571429,-13.85714286,-0.285714286,-62.28571429,-54.14285714,20.42857143
2021-02-08,Waltham Forest,-48.28571429,-15,1.142857143,-62.42857143,-54.14285714,20.57142857
2021-02-09,Waltham Forest,-48.28571429,-15.85714286,-3.142857143,-63,-54.28571429,20.71428571
2021-02-10,Waltham Forest,-47.14285714,-15.57142857,-1.857142857,-63.14285714,-54.28571429,20.71428571
2021-02-11,Waltham Forest,-46.14285714,-15.42857143,-0.428571429,-63,-54.28571429,20.71428571
2021-02-12,Waltham Forest,-45.71428571,-16,-8.714285714,-62.85714286,-54.42857143,20.85714286
2021-02-13,Waltham Forest,-45.28571429,-15,-9.142857143,-62.71428571,-54.57142857,20.85714286
2021-02-14,Waltham Forest,-44.14285714,-13,-3.285714286,-62.14285714,-53.57142857,20.71428571
2021-02-15,Waltham Forest,-42.42857143,-11.57142857,0,-61.85714286,-53.71428571,20.42857143
2021-02-16,Waltham Forest,-41.57142857,-10.71428571,0.857142857,-61.28571429,-53.85714286,20.28571429
2021-02-17,Waltham Forest,-41.28571429,-10.71428571,-0.714285714,-61,-54,20.28571429
