date,restriction
2021-12-03,Roadmap out of lockdown: Step 4
2021-12-04,Roadmap out of lockdown: Step 4
2021-12-05,Roadmap out of lockdown: Step 4
2021-12-06,Roadmap out of lockdown: Step 4
2021-12-07,Roadmap out of lockdown: Step 4
2021-12-08,Roadmap out of lockdown: Step 4
2021-12-09,Roadmap out of lockdown: Step 4
2021-12-10,Roadmap out of lockdown: Step 4
2021-12-11,Roadmap out of lockdown: Step 4
2021-12-12,Roadmap out of lockdown: Step 4
2021-12-13,Move to Plan B
2021-12-14,Move to Plan B
2021-12-15,Move to Plan B
2021-12-16,Move to Plan B
2021-12-17,Move to Plan B
2021-12-18,Move to Plan B
2021-12-19,Move to Plan B
2021-12-20,Move to Plan B
2021-12-21,Move to Plan B
2021-12-22,Move to Plan B
2021-12-23,Move to Plan B
2021-12-24,Move to Plan B
2021-12-25,Move to Plan B
2021-12-26,Move to Plan B
2021-12-27,Move to Plan B
2021-12-28,Move to Plan B
2021-12-29,Move to Plan B
2021-12-30,Move to Plan B
2021-12-31,Move to Plan B
2022-01-01,Move to Plan B
2022-01-02,Move to Plan B
2022-01-03,Move to Plan B
2022-01-04,Move to Plan B
2022-01-05,Move to Plan B
2022-01-06,Move to Plan B
2022-01-07,Move to Plan B
2022-01-08,Move to Plan B
2022-01-09,Move to Plan B
2022-01-10,Move to Plan B
2022-01-11,Move to Plan B
2022-01-12,Move to Plan B
2022-01-13,Move to Plan B
2022-01-14,Move to Plan B
2022-01-15,Move to Plan B
2022-01-16,Move to Plan B
2022-01-17,Move to Plan B
2022-01-18,Move to Plan B
2022-01-19,Move to Plan B
2022-01-20,Move to Plan B
2022-01-21,Move to Plan B
2022-01-22,Move to Plan B
2022-01-23,Move to Plan B
2022-01-24,Move to Plan B
2022-01-25,Move to Plan B
2022-01-26,Move to Plan B
2022-01-27,Move to Plan B
2022-01-28,Move to Plan B
2022-01-29,Move to Plan B
2022-01-30,Move to Plan B
2022-01-31,Move to Plan B
2022-01-31,Move to Plan B
2022-01-31,Move to Plan B
2022-01-31,Move to Plan B
2022-01-31,Move to Plan B
2022-01-31,Move to Plan B
2022-01-31,Move to Plan B
